Date,year_month,usd_ngn_rate,oil_price,external_reserves,mpr,fx_return,oil_return,reserves_change,mpr_change,volatility,spike
2010-04-01,2010-04,150.38,84.97857142857,38890739999.572495,6.0,0.19989339019188535,7.194959900456488,3.2605924222129268,0.0,0.5330591503756793,0
2010-05-01,2010-05,151.49,76.25095238095,38696614963.41625,6.0,0.7381300704881077,-10.270376285339344,-0.49915490463379175,0.0,0.6677738612661619,0
2010-06-01,2010-06,151.27,74.83818181818,37534786988.48571,6.0,-0.14522410720179124,-1.8527907110088115,-3.0024020861487033,0.0,0.44518150123772,0
2010-07-01,2010-07,150.27,74.73545454545,38077593171.755,6.0,-0.661069610629994,-0.1372658584619102,1.4461416377181013,0.0,0.707598159773627,0
2010-08-01,2010-08,150.7,76.69318181818,38550988967.995,6.0,0.2861515937978121,2.619542872438707,1.2432398080012064,0.0,0.4742379130312663,0
2010-09-01,2010-09,152.62,77.78681818182,38481015445.69625,6.25,1.274054412740555,1.425989035417441,-0.18150902005871217,0.25,0.9676332789869616,0
2010-10-01,2010-10,151.78,82.9180952381,38359195419.78715,6.25,-0.5503865810509767,6.596589468778724,-0.31657175492422196,0.0,0.9132663939108205,0
2010-11-01,2010-11,150.55,85.67,39310103068.11125,6.25,-0.8103834497298679,3.318822934846599,2.478956187474135,0.0,1.1358597708380773,0
2010-12-01,2010-12,152.63,91.79652173913,39580447745.52,6.25,1.3816007970773647,7.151303535811837,0.6877231457275146,0.0,1.1975647887289838,0
2011-01-01,2011-01,152.57,96.29428571429,32693462285.23112,6.5,-0.03931075149052887,4.8997106752496355,-17.399968551564438,0.25,1.1119305788488347,0
2011-02-01,2011-02,152.75,103.9555,32663577365.95714,6.5,0.11797863275873066,7.956042488794424,-0.09140946594536903,0.0,0.7789384393100098,0
2011-03-01,2011-03,155.21,114.44130434783,33973691319.32833,7.5,1.6104746317512353,10.086820175777135,4.010932234068831,1.0,0.9105013333473831,0
2011-04-01,2011-04,154.6,123.07,33315031752.88111,7.5,-0.3930159139230782,7.539843853880024,-1.9387341818594028,0.0,1.0410438751843742,0
2011-05-01,2011-05,156.17,114.45818181818,32561572252.6925,8.0,1.0155239327296117,-6.997495881872107,-2.2616202373075933,0.5,1.0289092282996362,0
2011-06-01,2011-06,155.66,113.75772727273,33649720384.05625,8.0,-0.3265672024076238,-0.6119742025630703,3.341816921244556,0.0,0.7947335555480477,0
2011-07-01,2011-07,152.6,116.46,33942677330.21112,8.75,-1.9658229474495692,2.375463005507661,0.8706073715063489,0.75,1.493139713970808,0
2011-08-01,2011-08,152.36,110.08130434783,34484305541.5075,8.75,-0.15727391874179597,-5.477155806431389,1.5957144630258657,0.0,0.9988884824966743,0
2011-09-01,2011-09,156.7,110.87909090909,33924990135.12572,9.25,2.848516671042245,0.7247248440472642,-1.6219419170513727,0.5,2.431854320645526,1
2011-10-01,2011-10,159.82,109.46857142857,34057599088.35125,12.0,1.991065730695607,-1.2721239585888,0.39088870091734673,2.75,1.5484057626087717,0
2011-11-01,2011-11,158.76,110.50409090909,34113354321.99,12.0,-0.6632461519209154,0.9459513968314459,0.16370864397725615,0.0,1.8308955827702935,1
2011-12-01,2011-12,162.27,107.90904761905,34208594227.61125,12.0,2.2108843537415046,-2.3483685252656428,0.27918657521126544,0.0,1.599704033085299,1
2012-01-01,2012-01,161.31,111.15619047619,37265775877.652,12.0,-0.5916065816232274,3.009147915569921,8.936881854014223,0.0,1.6390908981512224,1
2012-02-01,2012-02,158.59,119.70238095238,37392677582.89,12.0,-1.6861942842973154,7.688452113713451,0.34053149907473657,0.0,2.009946085209964,1
2012-03-01,2012-03,157.72,124.92863636364,37615649590.43,12.0,-0.5485844000252205,4.36604131820828,0.5962985855873182,0.0,0.6447388871665,0
2012-04-01,2012-04,157.44,120.4635,38162639750.95625,12.0,-0.17752979964493765,-3.57414960541389,1.4541558273804656,0.0,0.7861198267978605,0
2012-05-01,2012-05,157.46,110.52173913044,38473552912.25444,12.0,0.012703252032530976,-8.252923806430989,0.814705595124332,0.0,0.2854569315927915,0
2012-06-01,2012-06,162.33,95.58904761905,38210619367.97375,12.0,3.0928489775180923,-13.511089880485983,-0.6834137332737633,0.0,1.8357043902498618,1
2012-07-01,2012-07,161.33,103.14090909091,38450062204.13,12.0,-0.6160290765724108,7.900341785971499,0.6266395052390461,0.0,1.984875245927477,1
2012-08-01,2012-08,158.97,113.34,37848504872.49714,12.0,-1.462840141325239,9.888502049269675,-1.5645158867083508,0.0,2.4230548469184288,1
2012-09-01,2012-09,157.78,113.3825,37176010082.6575,12.0,-0.7485689123734041,0.03749779424739863,-1.776806751297355,0.0,0.45549225678931704,0
2012-10-01,2012-10,157.24,111.97347826087,38366608677.644,12.0,-0.342248700722525,-1.2427153565409133,3.202599182481669,0.0,0.5673042510646676,0
2012-11-01,2012-11,157.58,109.71181818182,38548122897.42875,12.0,0.21622996692953755,-2.0198176516236344,0.47310467628201014,0.0,0.48439505470268,0
2012-12-01,2012-12,157.33,109.6765,38694717212.48778,12.0,-0.15864957481913633,-0.032191775148104895,0.38028911407461674,0.0,0.2846464860361691,0
2013-01-01,2013-01,156.96,112.97363636364,46703656828.02,12.0,-0.2351744740354711,3.0062377661942197,20.697759778297396,0.0,0.24157700647499739,0
2013-02-01,2013-02,157.52,116.5195,46671112267.2325,12.0,0.35677879714577365,3.1386646924832506,-0.06968311048392017,0.0,0.3219552614076663,0
2013-03-01,2013-03,158.63,109.24,46831518821.78875,12.0,0.7046724225495016,-6.247452143203502,0.343695589763926,0.0,0.4751755533272173,0
2013-04-01,2013-04,158.2,102.87545454546,46461624923.587,12.0,-0.27107104582991814,-5.826204187605266,-0.7898396368679284,0.0,0.4945200899198606,0
2013-05-01,2013-05,158.02,103.02695652174,46866818022.022224,12.0,-0.11378002528443787,0.14726736999548518,0.8721027280075289,0.0,0.5238766061129496,0
2013-06-01,2013-06,160.02,103.11,46801139705.27125,12.0,1.2656625743576733,0.08060364108928297,-0.14013820336621352,0.0,0.8454932061885849,0
2013-07-01,2013-07,161.12,107.71608695652,46620176627.66875,12.0,0.687414073240844,4.467158332382892,-0.38666382644121366,0.0,0.6927174987278751,0
2013-08-01,2013-08,161.15,110.96454545455,46717932978.36,12.0,0.018619662363450473,3.0157598459190638,0.20968678748685132,0.0,0.624069082369835,0
2013-09-01,2013-09,161.96,111.62142857143,46507715478.07572,12.0,0.5026372944461732,0.591975674923173,-0.44997174935298423,0.0,0.34537455276105045,0
