threshold,accuracy,precision,recall,f1_score
0.4099999999999998,0.9090909090909091,0.8333333333333334,0.7142857142857143,0.7692307692307693
0.4199999999999998,0.9090909090909091,0.8333333333333334,0.7142857142857143,0.7692307692307693
0.4299999999999998,0.8787878787878788,0.8,0.5714285714285714,0.6666666666666666
0.43999999999999984,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.44999999999999984,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.45999999999999985,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.46999999999999986,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.47999999999999976,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.48999999999999977,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.4999999999999998,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.5099999999999998,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.5199999999999998,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.5299999999999998,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.5399999999999998,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.5499999999999998,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.5599999999999997,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.5699999999999997,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.5799999999999997,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.5899999999999997,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.5999999999999998,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.6099999999999998,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.6199999999999998,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.6299999999999997,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.6399999999999997,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.6499999999999997,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.6599999999999997,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.6699999999999997,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.6799999999999997,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.6899999999999997,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.6999999999999996,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.7099999999999996,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.7199999999999996,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.7299999999999996,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.7399999999999997,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.7499999999999997,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.7599999999999997,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.7699999999999997,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.7799999999999997,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.7899999999999996,0.9090909090909091,1.0,0.5714285714285714,0.7272727272727273
0.7999999999999996,0.8787878787878788,1.0,0.42857142857142855,0.6
0.8099999999999996,0.8787878787878788,1.0,0.42857142857142855,0.6
0.8199999999999996,0.8787878787878788,1.0,0.42857142857142855,0.6
0.8299999999999996,0.8787878787878788,1.0,0.42857142857142855,0.6
0.8399999999999996,0.8787878787878788,1.0,0.42857142857142855,0.6
0.8499999999999996,0.8787878787878788,1.0,0.42857142857142855,0.6
0.8599999999999995,0.8787878787878788,1.0,0.42857142857142855,0.6
0.8699999999999996,0.8787878787878788,1.0,0.42857142857142855,0.6
0.8799999999999996,0.8787878787878788,1.0,0.42857142857142855,0.6
0.8899999999999996,0.8787878787878788,1.0,0.42857142857142855,0.6
0.8999999999999996,0.8787878787878788,1.0,0.42857142857142855,0.6
